name,color
Norman C. Hutchinson,#00bfff
Andrew Warfield,#00bfff
Michael J. Feeley,#00bfff
James J. Little,#ffc0cb
David G. Lowe,#ffc0cb
Alla Sheffer,#ffc0cb
Alan K. Mackworth,#ffc0cb
Holger H. Hoos,#32CD32
Nicholas J. A. Harvey,#ffff00
William Aiello,#00bfff
Alan J. Hu,#00bfff
Wolfgang Heidrich,#32CD32
Michiel van de Panne,#ffc0cb
Giuseppe Carenini,#32CD32
Cristina Conati,#32CD32
David Poole,#32CD32
Raymond T. Ng,#32CD32
William Evans,#d3d3d3
Laks V. S. Lakshmanan,#00bfff
Rachel Pottinger,#00bfff
Chen Greif,#ffc0cb
Kevin Leyton-Brown,#32CD32
Anne Condon,#ffc0cb
Alan Wagner,#00bfff
Gregor Kiczales,#d3d3d3
Joanna McGrenere,#ffc0cb
Karon E. MacLean,#ffc0cb
Kellogg S. Booth,#ffc0cb
Gail C. Murphy,#00bfff
Tamara Munzner,#ffc0cb
Mark R. Greenstreet,#ffff00
Mark W. Schmidt,#32CD32
Michael P. Friedlander,#32CD32
Reid Holmes,#00bfff
Joel Friedman,#d3d3d3
Ivan Beschastnikh,#00bfff
Ian M. Mitchell,#ffc0cb
Ronald A. Rensink,#ffc0cb
