name,abbrv,color,coauthored
Michael Taylor,M. Taylor,#00bfff,0
Martin Tompa,M. Tompa,#d3d3d3,1
Walter Ruzzo,W. Ruzzo,#ffc0cb,1
Jeffrey Heer,J. Heer,#ffc0cb,0
Pedro Domingos,P. Domingos,#32CD32,1
Daniel Weld,D. Weld,#32CD32,1
Dan Grossman,D. Grossman,#00bfff,1
Luis Ceze,L. Ceze,#00bfff,1
Magdalena Balazinska,M. Balazinska,#00bfff,1
Emina Torlak,E. Torlak,#00bfff,1
Zachary Tatlock,Z. Tatlock,#00bfff,1
Xi Wang,X. Wang,#00bfff,1
Michael Ernst,M. Ernst,#00bfff,1
Franziska Roesner,F. Roesner,#00bfff,1
Mark Oskin,M. Oskin,#00bfff,1
Anna Karlin,A. Karlin,#ffff00,0
Steven Seitz,S. Seitz,#32CD32,1
Brian Curless,B. Curless,#32CD32,1
Ira Kemelmacher-Shlizerman,I. Kemelmacher-Shlizerman,#32CD32,1
Luke Zettlemoyer,L. Zettlemoyer,#32CD32,1
Alvin Cheung,A. Cheung,#00bfff,1
Ali Farhadi,A. Farhadi,#32CD32,1
Dieter Fox,D. Fox,#ffc0cb,1
Joshua Smith,J. Smith,#ffc0cb,1
Tadayoshi Kohno,T. Kohno,#00bfff,1
Rajesh Rao,R. Rao,#ffc0cb,1
Shyamnath Gollakota,S. Gollakota,#00bfff,1
Linda Shapiro,L. Shapiro,#32CD32,1
Rastislav Bodík,R. Bodík,#00bfff,1
Arvind Krishnamurthy,A. Krishnamurthy,#00bfff,1
Zoran Popovic,Z. Popovic,#ffc0cb,1
Yejin Choi,Y. Choi,#32CD32,1
Maya Cakmak,M. Cakmak,#ffc0cb,1
Thomas Rothvoß,T. Rothvoß,#ffff00,0
Katharina Reinecke,K. Reinecke,#ffc0cb,0
Henry Levy,H. Levy,#00bfff,1
Dan Suciu,D. Suciu,#00bfff,1
James Fogarty,J. Fogarty,#ffc0cb,1
Georg Seelig,G. Seelig,#00bfff,1
Thomas Anderson,T. Anderson,#00bfff,1
John Zahorjan,J. Zahorjan,#00bfff,1
Siddhartha Srinivasa,S. Srinivasa,#ffc0cb,1
Shwetak Patel,S. Patel,#ffc0cb,1
Alan Borning,A. Borning,#ffc0cb,1
Edward Lazowska,E. Lazowska,#32CD32,1
Carlos Guestrin,C. Guestrin,#32CD32,1
Emanuel Todorov,E. Todorov,#ffc0cb,1
Paul Beame,P. Beame,#ffff00,1
Richard Ladner,R. Ladner,#ffc0cb,1
Anup Rao,A. Rao,#ffff00,0
Noah Smith,N. Smith,#32CD32,1
Su-In Lee,S. Lee,#32CD32,1
Steven Tanimoto,S. Tanimoto,#d3d3d3,0
Sham Kakade,S. Kakade,#32CD32,0
Richard Anderson,R. Anderson,#ffc0cb,1
James Lee,J. Lee,#ffff00,1
Shayan Gharan,S. Gharan,#ffff00,1
