"dept","url"
Northeastern University,http://www.ccs.neu.edu/
University of Massachusetts - Amherst,https://www.cics.umass.edu/
Arizona State University,http://cidse.engineering.asu.edu/
Boston University,http://www.bu.edu/cs/
Brown University,http://cs.brown.edu/
California Institute of Technology,http://www.cms.caltech.edu/
Carnegie Mellon University,https://www.scs.cmu.edu/
Columbia University,http://www.cs.columbia.edu/
Cornell University,http://www.cs.cornell.edu/
Dartmouth College,http://web.cs.dartmouth.edu/
Duke University,http://www.cs.duke.edu/
Georgia Institute of Technology,http://www.cc.gatech.edu/
Harvard University,http://www.seas.harvard.edu/computer-science
Indiana University,http://www.cs.indiana.edu/
Johns Hopkins University,http://www.cs.jhu.edu/
Massachusetts Institute of Technology,http://www.csail.mit.edu/
New York University,http://www.cs.nyu.edu/
North Carolina State University,https://www.csc.ncsu.edu/
Northeastern University,http://www.ccs.neu.edu/
Northwestern University,http://www.mccormick.northwestern.edu/eecs/computer-science/
Ohio State University,https://cse.osu.edu/
Pennsylvania State University,http://www.eecs.psu.edu/
Princeton University,http://www.cs.princeton.edu/
Purdue University,https://www.cs.purdue.edu/
Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/
Rice University,http://www.cs.rice.edu/
Rutgers - State University of New Jersey - New Brunswick,http://www.cs.rutgers.edu/
Stanford University,http://www.cs.stanford.edu/
State University of New York - Stony Brook,https://www.cs.stonybrook.edu/
Texas A&M University,http://www.cs.tamu.edu/
University of Arizona,http://www.cs.arizona.edu/
University of California - Berkeley,http://www.cs.berkeley.edu
University of California - Davis,http://www.cs.ucdavis.edu
University of California - Irvine,http://www.cs.uci.edu
University of California - Los Angeles,http://www.cs.ucla.edu
University of California - San Diego,http://www.cs.ucsd.edu
University of California - Santa Barbara,http://www.cs.ucsb.edu
University of Chicago,https://www.cs.uchicago.edu/
University of Colorado Boulder,http://www.cs.colorado.edu
University of Florida,http://www.cis.ufl.edu
University of Illinois at Urbana-Champaign,http://www.cs.uiuc.edu
University of Maryland - College Park,http://www.cs.umd.edu
University of Massachusetts - Amherst,http://www.cics.umass.edu
University of Michigan,http://www.cs.umich.edu
University of Minnesota - Twin Cities,http://www.cs.umn.edu
University of North Carolina - Chapel Hill,http://www.cs.unc.edu
University of Pennsylvania,http://www.cis.upenn.edu
University of Pittsburgh,http://www.cs.pitt.edu
University of Rochester,http://www.cs.rochester.edu
University of Southern California,http://www.cs.usc.edu
University of Texas - Austin,http://www.cs.utexas.edu
University of Utah,http://www.cs.utah.edu
University of Virginia,http://www.cs.virginia.edu
University of Washington,http://www.cs.washington.edu
University of Wisconsin - Madison,http://www.cs.wisc.edu
Virginia Polytechnic Institute and State University,http://www.cs.vatech.edu
Washington University - St. Louis,http://www.cs.wustl.edu
Yale University,http://www.cs.yale.edu
